Stock A,Stock B,p-value
DABUR.NS,HINDUNILVR.NS,9.992985037701342e-05
CHOLAFIN.NS,JINDALSTEL.NS,0.0021274374484588922
BAJAJ-AUTO.NS,SIEMENS.NS,0.0022713081685823227
ASHOKLEY.NS,EICHERMOT.NS,0.0023564376687497807
HAVELLS.NS,JSWSTEEL.NS,0.0024574967797052925
BHARATFORG.NS,TVSMOTOR.NS,0.0031779805631163434
AMBUJACEM.NS,SBIN.NS,0.0037194608918525553
SRF.NS,TATACHEM.NS,0.003806604274252564
JINDALSTEL.NS,ULTRACEMCO.NS,0.0038288612902535398
ADANIPORTS.NS,ULTRACEMCO.NS,0.004117737470387972
GRASIM.NS,TATASTEEL.NS,0.00443613449558482
BHEL.NS,COALINDIA.NS,0.00474099503929674
ICICIPRULI.NS,MUTHOOTFIN.NS,0.0060408759052350365
SBIN.NS,TATAPOWER.NS,0.006340185864766741
AXISBANK.NS,CHOLAFIN.NS,0.006435058536930877
ADANIENT.NS,TATACHEM.NS,0.006561952920190469
JINDALSTEL.NS,SBIN.NS,0.006639406197895554
JSWSTEEL.NS,TATACHEM.NS,0.007326331908885665
BHARATFORG.NS,TATAPOWER.NS,0.0077013364169961854
AXISBANK.NS,LT.NS,0.008076365662553379
AMBUJACEM.NS,TATAPOWER.NS,0.008104559123604988
ADANIPORTS.NS,JINDALSTEL.NS,0.00837023423454687
BHARATFORG.NS,NTPC.NS,0.00862961158711384
ASHOKLEY.NS,GRASIM.NS,0.009078481095993966
ADANIPORTS.NS,SBIN.NS,0.009657794076784096
BHARATFORG.NS,ONGC.NS,0.009846681969563726
BAJAJFINSV.NS,RELIANCE.NS,0.009907307697705767
CANBK.NS,IOC.NS,0.009962120007668062
NTPC.NS,OIL.NS,0.01041447774210035
ASHOKLEY.NS,VEDL.NS,0.010750683965111512
CHOLAFIN.NS,SBIN.NS,0.01077608220215535
CANBK.NS,ONGC.NS,0.01107497237943344
AMBUJACEM.NS,JINDALSTEL.NS,0.011214952774320308
BHARATFORG.NS,LT.NS,0.01252141338221961
CANBK.NS,COALINDIA.NS,0.012671932282396523
ASHOKLEY.NS,JINDALSTEL.NS,0.012888361635470752
HDFCBANK.NS,SHREECEM.NS,0.013190219857713195
HAVELLS.NS,PIDILITIND.NS,0.014092113830060853
AMBUJACEM.NS,TATASTEEL.NS,0.014789954446207815
EICHERMOT.NS,TVSMOTOR.NS,0.01510171454989476
AXISBANK.NS,JINDALSTEL.NS,0.015546340885692659
HDFCBANK.NS,KOTAKBANK.NS,0.015790234065465276
BAJAJ-AUTO.NS,BHARATFORG.NS,0.015914462855612314
JINDALSTEL.NS,LT.NS,0.01651369969808757
AXISBANK.NS,SBIN.NS,0.016541179616833716
IOC.NS,ONGC.NS,0.01661931674812554
AXISBANK.NS,ULTRACEMCO.NS,0.017031431547201808
GRASIM.NS,JINDALSTEL.NS,0.017050964174205728
BHARATFORG.NS,EICHERMOT.NS,0.017077597089130838
ADANIENT.NS,SRF.NS,0.017705784756314097
HAVELLS.NS,ICICIBANK.NS,0.019909384867345933
BAJAJ-AUTO.NS,M&M.NS,0.020380405136040287
BHEL.NS,BOSCHLTD.NS,0.021009726624362707
ASIANPAINT.NS,BAJFINANCE.NS,0.02146764319171301
BOSCHLTD.NS,CANBK.NS,0.022932903904354967
BANKBARODA.NS,COALINDIA.NS,0.023460173065177177
SBIN.NS,VEDL.NS,0.02519672004502415
BHARATFORG.NS,SBIN.NS,0.02643603140570921
OIL.NS,VEDL.NS,0.026478348622477124
HAVELLS.NS,TATASTEEL.NS,0.026548264444575566
ABB.NS,SIEMENS.NS,0.02842719554769353
ASHOKLEY.NS,SBIN.NS,0.028708518407357875
AXISBANK.NS,TITAN.NS,0.03165657986607371
COALINDIA.NS,ONGC.NS,0.033439813855107345
BAJFINANCE.NS,SHREECEM.NS,0.03376660076159628
ASIANPAINT.NS,DABUR.NS,0.0344764946890977
AMBUJACEM.NS,ULTRACEMCO.NS,0.03454568016716574
AMBUJACEM.NS,GRASIM.NS,0.03462374333734485
HAVELLS.NS,ULTRACEMCO.NS,0.03505285351583316
SIEMENS.NS,TVSMOTOR.NS,0.03522121231728384
ASHOKLEY.NS,BHARATFORG.NS,0.03592962828423008
ULTRACEMCO.NS,VEDL.NS,0.036615547987934066
EICHERMOT.NS,M&M.NS,0.037444506246336655
EICHERMOT.NS,JINDALSTEL.NS,0.0390441760433355
RELIANCE.NS,TATACONSUM.NS,0.039990765054933215
AMBUJACEM.NS,ASHOKLEY.NS,0.04064870924883347
ADANIPORTS.NS,GRASIM.NS,0.04133905164933985
ONGC.NS,VEDL.NS,0.041552692410882164
NTPC.NS,ONGC.NS,0.04378222221058099
EICHERMOT.NS,SIEMENS.NS,0.044184558845275015
BPCL.NS,POWERGRID.NS,0.04462854183501081
AMBUJACEM.NS,JSWSTEEL.NS,0.04465792685292523
TATASTEEL.NS,ULTRACEMCO.NS,0.045774170583046135
EICHERMOT.NS,SBIN.NS,0.0466542265744414
BAJAJFINSV.NS,PIDILITIND.NS,0.04707045881805915
ADANIPORTS.NS,TATASTEEL.NS,0.0470734651980299
BHARATFORG.NS,GRASIM.NS,0.04722118127971088
BAJAJFINSV.NS,SRF.NS,0.0486651604966169
BHARATFORG.NS,SIEMENS.NS,0.04942524704585917
AMBUJACEM.NS,TATACHEM.NS,0.04952474180093212
